dateOfLoss,totalAmountPaid,Date,ONI_Total,ONI_Anomaly,Resident Population,claimsPerCapita
1985-03-01,240823.87,1985-03-01,26.4,-0.77,15652761.663564194,0.01538539173956626
1985-04-01,1830447.01,1985-04-01,26.69,-0.78,15676160.757185876,0.11676628214985177
1985-05-01,182145.37,1985-05-01,26.79,-0.78,15698805.041335888,0.01160249901316695
1985-06-01,1021439.6,1985-06-01,26.76,-0.63,15722204.134957569,0.06496796449353293
1985-07-01,15477.16,1985-07-01,26.55,-0.49,15744848.419107582,0.0009829983489213702
1985-08-01,3309.5199999999995,1985-08-01,26.29,-0.46,15768247.512729265,0.00020988508693361876
1985-09-01,434388.55,1985-09-01,26.18,-0.4,15791646.606350943,0.027507489296607072
1985-10-01,812514.87,1985-10-01,26.19,-0.35,15814290.89050096,0.05137852058153594
1985-11-01,5104272.7,1985-11-01,26.25,-0.27,15837689.98412264,0.32228643855998307
1985-12-01,49658.8,1985-12-01,26.14,-0.36,15860334.268272651,0.003131005889285607
1986-02-01,390276.81,1986-02-01,26.28,-0.47,15907132.455516014,0.024534705490848303
1986-03-01,6078.73,1986-03-01,26.81,-0.31,15928267.120722694,0.00038163159582448015
1986-04-01,1438785.98,1986-04-01,27.26,-0.2,15951666.214344377,0.09019659518114703
1986-05-01,333438.07,1986-05-01,27.44,-0.12,15974310.498494389,0.020873393567217017
1986-06-01,3449676.84,1986-06-01,27.34,-0.04,15997709.592116067,0.2156356708525361
1986-07-01,12016.27,1986-07-01,27.26,0.22,16020353.876266085,0.0007500627072790149
1986-08-01,72635.29,1986-08-01,27.2,0.44,16043752.969887763,0.004527325379312925
1986-09-01,423406.86,1986-09-01,27.31,0.71,16067152.063509444,0.02635232792509701
1986-10-01,231781.13,1986-10-01,27.49,0.94,16089796.347659456,0.014405473195048653
1986-11-01,315357.99,1986-11-01,27.64,1.14,16113195.441281138,0.01957141220990033
1986-12-01,44786.3,1986-12-01,27.7,1.22,16135839.725431152,0.002775579130809897
1987-01-01,7627.72,1987-01-01,27.76,1.23,16159238.819052834,0.0004720346103806822
1987-02-01,61755.71,1987-02-01,27.95,1.19,16182637.912674516,0.003816170783357383
1987-03-01,1340.5,1987-03-01,28.19,1.06,16203772.577881193,8.272764836442082e-05
1987-04-01,5369.63,1987-04-01,28.41,0.95,16227171.671502875,0.0003309036293385496
1987-05-01,1287181.58,1987-05-01,28.53,0.97,16249815.955652889,0.0792120712943966
1987-06-01,4855534.05,1987-06-01,28.59,1.22,16273215.04927457,0.2983758301784656
1987-07-01,1277953.51,1987-07-01,28.54,1.51,16295859.333424583,0.07842197725521464
1987-08-01,24285.9,1987-08-01,28.45,1.7,16319258.427046264,0.0014881742395690266
1987-09-01,261938.55,1987-09-01,28.24,1.65,16342657.520667944,0.016027904254172626
1987-10-01,12270.34,1987-10-01,28.03,1.48,16365301.804817958,0.0007497778010050265
1987-11-01,2028042.03,1987-11-01,27.76,1.25,16388700.898439638,0.12374635686914569
1987-12-01,114638.19,1987-12-01,27.59,1.11,16411345.182589652,0.006985301248895583
1988-03-01,50795.469999999994,1988-03-01,27.27,0.14,16480032.84451136,0.0030822432503171448
1988-04-01,41403.0,1988-04-01,27.15,-0.31,16503431.93813304,0.002508750916488691
1988-05-01,103786.98,1988-05-01,26.69,-0.88,16526076.222283054,0.006280194923708392
1988-06-01,68330.99,1988-06-01,26.08,-1.3,16549475.315904737,0.004128891623188263
1988-07-01,339457.18,1988-07-01,25.74,-1.3,16572119.60005475,0.020483630832526606
1988-08-01,245168.95,1988-08-01,25.65,-1.11,16595518.69367643,0.01477320200262372
1988-09-01,2727008.12,1988-09-01,25.4,-1.19,16618917.787298111,0.16409059572364337
1988-10-01,31569.870000000003,1988-10-01,25.07,-1.48,16641562.071448123,0.0018970496798593403
1988-11-01,27122.41,1988-11-01,24.71,-1.8,16664961.165069804,0.001627511143371236
1989-01-01,213261.63,1989-01-01,24.84,-1.69,16711004.5428415,0.012761748071653476
1989-03-01,329955.49,1989-03-01,26.04,-1.08,16755538.30166986,0.019692324057838034
1989-04-01,74603.59,1989-04-01,26.64,-0.83,16778937.39529154,0.004446264280176351
1989-05-01,62985957.86,1989-05-01,26.99,-0.58,16801581.679441556,3.748811216807625
1989-06-01,46851484.12,1989-06-01,26.97,-0.4,16824980.773063235,2.784638196734771
1989-07-01,581414.92,1989-07-01,26.73,-0.31,16847625.05721325,0.03451020057874978
1989-08-01,39684551.74,1989-08-01,26.48,-0.27,16871024.15083493,2.3522313396745425
1989-09-01,62891.08,1989-09-01,26.35,-0.24,16894423.24445661,0.0037225940826737477
1989-10-01,3884663.68,1989-10-01,26.33,-0.22,16917067.528606623,0.22962985005711337
1989-11-01,2253.4,1989-11-01,26.34,-0.16,16940466.622228306,0.00013301876803341523
1990-01-01,21617.54,1990-01-01,26.67,0.14,16986510.0,0.0012726298692315255
1990-02-01,62607.29,1990-02-01,26.96,0.21,17019320.681818184,0.003678600995331362
1990-03-01,306394.53,1990-03-01,27.41,0.28,17048956.136363637,0.017971453944121106
1990-04-01,8404601.12,1990-04-01,27.75,0.29,17081766.818181816,0.492021768559336
1990-05-01,13719718.1,1990-05-01,27.86,0.29,17113519.09090909,0.801688888598493
1990-06-01,267169.08,1990-06-01,27.68,0.31,17146329.772727273,0.015581706612511072
1990-07-01,727440.45,1990-07-01,27.37,0.33,17178082.045454547,0.04234701220282542
1990-08-01,43098.41,1990-08-01,27.13,0.38,17210892.727272727,0.0025041356472872206
1990-09-01,105865.82,1990-09-01,26.98,0.39,17243703.40909091,0.006139389984183292
1990-10-01,16016.88,1990-10-01,26.89,0.35,17275455.681818184,0.0009271466000666604
1990-11-01,19933.21,1990-11-01,26.9,0.4,17308266.363636363,0.0011516583799448849
1990-12-01,8654.25,1990-12-01,26.94,0.41,17340018.636363637,0.0004990911590977895
1991-01-01,1220213.09,1991-01-01,27.02,0.41,17372829.318181816,0.07023686629574874
1991-02-01,104495.19,1991-02-01,27.15,0.26,17405640.0,0.0060035247195736555
1991-03-01,1.0,1991-03-01,27.48,0.22,17435275.454545453,5.735498716995008e-08
1991-04-01,13159649.66,1991-04-01,27.85,0.26,17468086.136363637,0.7533538338012494
1991-05-01,684158.59,1991-05-01,28.16,0.45,17499838.40909091,0.039095137566789735
1991-06-01,548152.5499999999,1991-06-01,28.17,0.64,17532649.09090909,0.0312646735332326
1991-07-01,28345.85,1991-07-01,27.94,0.73,17564401.363636363,0.001613823859587068
1991-08-01,88438.19,1991-08-01,27.57,0.64,17597212.045454547,0.005025693261612089
1991-09-01,154261.46,1991-09-01,27.41,0.62,17630022.727272727,0.00874992972989
1991-10-01,1396697.71,1991-10-01,27.54,0.79,17661775.0,0.07908025722216482
1991-11-01,358819.09,1991-11-01,27.91,1.21,17694585.681818184,0.02027846802701345
1991-12-01,16481575.47,1991-12-01,28.18,1.53,17726337.954545453,0.9297789262656889
1992-01-01,2526380.98,1992-01-01,28.39,1.71,17759148.636363637,0.1422580007482443
1992-02-01,1135594.82,1992-02-01,28.52,1.63,17791959.318181816,0.06382629364712644
1992-03-01,52227552.2,1992-03-01,28.73,1.48,17822653.181818184,2.930402767040322
1992-04-01,438845.32,1992-04-01,28.88,1.29,17855463.863636363,0.024577648799913438
1992-05-01,1236272.05,1992-05-01,28.76,1.06,17887216.136363637,0.0691148382495772
1992-06-01,1185442.24,1992-06-01,28.26,0.73,17920026.818181816,0.06615181171477041
1992-07-01,118783.93999999999,1992-07-01,27.57,0.37,17951779.09090909,0.006616833874707885
1992-08-01,231563.09,1992-08-01,27.03,0.09,17984589.772727273,0.012875639251508187
1992-09-01,32020.329999999998,1992-09-01,26.66,-0.13,18017400.454545453,0.0017771892277568748
1992-10-01,19869.15,1992-10-01,26.5,-0.25,18049152.727272727,0.0011008356070906981
1992-11-01,96997.04,1992-11-01,26.43,-0.28,18081963.40909091,0.005364297991623722
